T(K),a,da/dT
295.988,0.00E+00,0
295.988,0.00E+00,0
295.988,0.00E+00,0
295.988,1.36E-05,0
296.1906,6.89E-05,0
296.5958,0.00014214,0
297.7101,0.000250478,0.000503043
301.3569,0.000674089,0.001149554
312.6012,0.00123364,0.001839583
334.1781,0.001927548,0.002603175
349.4744,0.002585347,0.003718527
352.716,0.003259339,0.004578865
352.8173,0.004052952,0.005108949
352.9186,0.005196235,0.005271567
353.1212,0.006651219,0.004979751
353.3238,0.008194372,0.004193524
353.9316,0.009773572,0.003053189
354.9446,0.011428535,0.001959332
357.3758,0.012876187,0.001241937
366.7967,0.014318535,0.000985158
381.8904,0.015924553,0.001112704
392.4256,0.017472939,0.001374212
396.5789,0.019112151,0.00158782
397.4906,0.020928426,0.001695683
397.9971,0.022953381,0.001696635
398.6049,0.025049273,0.001582732
399.8205,0.027131187,0.00134467
404.1764,0.029167378,0.001036241
415.7246,0.031154192,0.000777835
429.704,0.033163371,0.000657132
438.6184,0.035215539,0.0006506
443.2782,0.037327677,0.000681357
445.1016,0.039530583,0.000697766
446.6211,0.041759766,0.000682008
448.951,0.043960724,0.000624763
453.8134,0.046062106,0.000526493
461.9174,0.048058264,0.000412396
471.6422,0.049905877,0.000323584
480.354,0.051838113,0.000277683
486.432,0.053521129,0.000260104
491.497,0.055065052,0.000250813
495.549,0.056440712,0.000240261
499.601,0.057643569,0.000224951
505.679,0.058740492,0.000204952
512.77,0.059815499,0.000184524
519.861,0.06088907,0.000171329
525.939,0.061944646,0.000176652
532.017,0.06294942,0.000200934
539.108,0.063885692,0.000236118
544.173,0.064775831,0.00027585
550.251,0.065656045,0.000318171
552.277,0.066539138,0.000364373
554.303,0.067414272,0.00041334
556.329,0.068290794,0.000459655
558.355,0.069200083,0.000497995
560.381,0.070155106,0.000527498
562.407,0.071175468,0.000555836
564.433,0.072380623,0.000605451
566.459,0.07363512,0.000734698
568.485,0.074894109,0.001069667
570.511,0.076161147,0.001717997
572.537,0.077442037,0.002459746
574.563,0.0790427,0.003118742
576.589,0.083768081,0.00365045
579.628,0.095163906,0.004077557
580.641,0.106405656,0.004416002
583.68,0.115592729,0.004575045
585.706,0.123637874,0.004448191
587.732,0.131333025,0.004236887
589.758,0.138924519,0.004280311
591.784,0.146106298,0.004586889
592.797,0.151708574,0.004904527
595.836,0.157097513,0.00513736
597.862,0.167344309,0.00533014
598.875,0.178554839,0.005504591
601.914,0.189440739,0.005596145
603.94,0.200295683,0.005552184
605.966,0.211139297,0.005339522
607.992,0.222002094,0.005127533
610.018,0.232478545,0.005056545
612.044,0.242722524,0.004982304
614.07,0.252985435,0.004850217
616.096,0.262649542,0.00471364
618.122,0.272186343,0.004610985
620.148,0.281943232,0.004553087
622.174,0.291833336,0.004523615
625.213,0.30151687,0.004492293
627.239,0.310899209,0.004435884
629.265,0.320457916,0.00434162
631.291,0.330101568,0.004246011
633.317,0.339565652,0.004154827
635.343,0.34831253,0.00404073
637.369,0.356561693,0.003924574
640.408,0.364615096,0.003822176
642.434,0.372578856,0.003737864
644.46,0.380493811,0.003698492
646.486,0.388351569,0.003766727
648.512,0.396193266,0.003835936
650.538,0.403811056,0.003831796
652.564,0.411080963,0.003778118
655.603,0.418260327,0.003711822
656.616,0.425369107,0.003660082
659.655,0.432401128,0.003596758
661.681,0.439387101,0.003495079
663.707,0.446332351,0.003351232
665.733,0.453130792,0.003209776
667.759,0.459662337,0.003146955
669.785,0.466090206,0.003080604
671.811,0.472186059,0.002980627
673.837,0.47821367,0.002885132
675.863,0.484191846,0.00281652
677.889,0.490110404,0.00277732
679.915,0.49596816,0.002755938
682.954,0.501792168,0.002738438
684.98,0.507621732,0.002728398
687.006,0.51346274,0.002731487
689.032,0.519274836,0.002742393
691.058,0.524994172,0.002740361
693.084,0.530588672,0.002705137
695.11,0.536068285,0.002647447
697.136,0.541430132,0.002566753
699.162,0.546689626,0.002484586
701.188,0.55185968,0.002420647
703.214,0.556940404,0.002379148
705.24,0.561935599,0.002352948
708.279,0.566874106,0.002334208
710.305,0.571804933,0.002327862
712.331,0.57675119,0.002338759
714.357,0.581690277,0.002361013
716.383,0.586578499,0.002374286
718.409,0.591408556,0.002358274
720.435,0.596208118,0.002326848
722.461,0.6009705,0.002289594
724.487,0.605665124,0.002247389
726.513,0.610259616,0.002200522
728.539,0.614734477,0.002149637
730.565,0.619086953,0.002096549
732.591,0.623325471,0.002042822
734.617,0.627456971,0.001988687
736.643,0.631477971,0.001929206
738.669,0.635392092,0.001856258
740.695,0.639221823,0.001783694
742.721,0.642960939,0.001726491
744.747,0.646504654,0.001705366
746.773,0.650006151,0.00174668
749.812,0.653497652,0.001846807
751.838,0.6569464,0.001982343
753.864,0.660318422,0.002112714
755.89,0.66421083,0.002176236
757.916,0.670072324,0.002146729
759.942,0.675900021,0.002023615
761.968,0.681131253,0.00183453
763.994,0.686207771,0.001604312
770.072,0.691247167,0.001361082
776.15,0.696061965,0.001154906
782.228,0.700419108,0.001020939
788.306,0.705683141,0.000971915
794.384,0.712209374,0.000989201
800.462,0.718786918,0.001018707
806.54,0.725259913,0.001034363
812.618,0.73171462,0.001031942
818.696,0.738147305,0.001017212
824.774,0.744335056,0.001003809
830.852,0.7503911,0.001002003
836.93,0.756296009,0.000998959
843.008,0.762072105,0.000988504
849.086,0.767774493,0.000977929
855.164,0.77342088,0.000969508
859.216,0.779012899,0.000961723
866.307,0.7845462,0.000947369
873.398,0.790022856,0.000923608
878.463,0.795446046,0.000895538
884.541,0.800812421,0.000873443
890.619,0.806095284,0.000865209
896.697,0.811253544,0.0008542
902.775,0.816309142,0.000835404
908.853,0.821287043,0.000817255
914.931,0.826155136,0.000801604
919.996,0.830878213,0.000784856
926.074,0.835459942,0.000764526
932.152,0.839897107,0.000741601
938.23,0.844161993,0.000715962
943.295,0.848251448,0.00069016
949.373,0.852188838,0.000668049
955.451,0.855988532,0.000649612
960.516,0.859663952,0.000632787
966.594,0.863235435,0.000617088
972.672,0.866728232,0.000604804
978.75,0.870173632,0.000596377
983.815,0.873605653,0.000590762
989.893,0.877032477,0.000587659
995.971,0.880436037,0.000584346
1002.049,0.883805325,0.000577649
1007.114,0.887152554,0.000569197
1013.192,0.890473334,0.000561962
1019.27,0.893727126,0.000552146
1024.335,0.896889712,0.000539199
1030.413,0.899958438,0.00052638
1036.491,0.902939465,0.00051565
1041.556,0.905840918,0.000506302
1047.634,0.908675566,0.000497181
1053.712,0.911463786,0.000491167
1058.777,0.914211636,0.000489266
1064.855,0.916923906,0.000493478
1069.92,0.919592327,0.000502463
1075.998,0.922158381,0.000508105
1081.063,0.924717143,0.000513621
1086.128,0.927275882,0.000519754
1090.18,0.929828709,0.000526526
1095.245,0.93237189,0.000533437
1100.31,0.934904355,0.000533437
