T(K),a,da/dT
299.1283,0,0
299.1283,0,0
299.027,0.00E+00,0
299.1283,0.000430223,0
299.2296,0.000993574,0
299.7361,0.001623499,0
300.8504,0.002358088,0
303.6868,0.00378449,0.000103795
311.7908,0.005422424,0.00056195
329.1131,0.007263194,0.000988824
343.8016,0.009101629,0.001375139
348.1575,0.011010043,0.001719719
348.8666,0.01301266,0.002043612
349.3731,0.015250752,0.002386639
350.1835,0.017808336,0.002304826
351.0952,0.020529388,0.0020237
352.0069,0.023028829,0.001630928
354.3368,0.025401598,0.001292033
362.3395,0.027813819,0.001117951
375.1033,0.030385181,0.001085852
383.9164,0.033250993,0.001136199
388.4749,0.03641797,0.001214851
390.3996,0.039936603,0.001265654
391.8178,0.043686381,0.001261602
393.6412,0.047486461,0.001193959
397.5919,0.051285328,0.001068479
404.8855,0.055011027,0.000917185
415.1168,0.058597342,0.000797879
423.626,0.062392198,0.000757497
429.704,0.066365157,0.000777082
433.5534,0.070447797,0.000809406
437.0989,0.074638577,0.000824573
442.6704,0.078842914,0.000811507
446.6211,0.082992838,0.000774325
453.3069,0.087279198,0.00072823
461.0057,0.091575996,0.000689894
468.198,0.095820168,0.000662274
474.1747,0.099941218,0.000639697
480.354,0.103878455,0.000622094
485.419,0.107598654,0.000601968
490.484,0.111102936,0.000573904
496.562,0.11442814,0.000538462
502.64,0.117603706,0.000498797
509.731,0.120618635,0.00046007
515.809,0.123454503,0.000430504
521.887,0.126095175,0.000412953
527.965,0.128545561,0.00041178
534.043,0.130698392,0.00043
540.121,0.132836992,0.000461585
545.186,0.134984068,0.000500007
552.277,0.137423441,0.000540737
558.355,0.141030276,0.000585362
564.433,0.145690423,0.000655066
570.511,0.149723355,0.000806697
576.589,0.153620642,0.001132156
582.667,0.157522953,0.001677765
588.745,0.161813133,0.002266376
594.823,0.167492802,0.002793836
597.862,0.175254084,0.003255922
599.888,0.183203789,0.003671477
600.901,0.191881147,0.003986375
603.94,0.19870915,0.004062526
605.966,0.206111082,0.003933994
607.992,0.214136733,0.003769476
610.018,0.222477748,0.003738465
612.044,0.230451138,0.003871958
616.096,0.237308259,0.004031437
618.122,0.245350164,0.004302429
620.148,0.255140479,0.004618508
622.174,0.265236186,0.004901378
